Customer ID,Age,Gender,Job,Annual Income,Account Creation Date,Last Login Time,Purchase Frequency,Average Purchase Price,Most Purchased Category,App Usage Frequency,Preferred Payment Method,Marketing Opt-In,Recent Purchase Date,Promotion Response,Preferred Brand
18,53,Male,Services,135340,2021-02-10,2024-05-07 2:35,5,129.17,Luxury,4.08,Mobile,FALSE,2023-05-20,1,Nike
19,32,Female,Education,106875,2019-10-23,2024-05-09 4:44,25,256.53,Shoes,3.19,Mobile,FALSE,2023-06-17,0,Double Flag
20,48,Male,Healthcare,180555,2020-09-13,2024-05-08 20:52,5,486.2,Shoes,0.12,Virtual Account,FALSE,2023-09-18,1,Gucci
21,18,Female,Finance,72542,2020-02-03,2024-05-08 11:33,18,415.94,Beauty,0.56,Virtual Account,FALSE,2024-01-02,1,Hazzys
22,25,Female,Services,79859,2023-02-07,2024-05-05 17:15,4,163.57,Bags/Accessories,4.99,App,TRUE,2024-01-14,1,Gucci
23,62,Female,Education,191123,2023-08-17,2024-05-05 20:27,21,174.42,Bags/Accessories,4.22,Credit Card,TRUE,2023-09-02,1,Double Flag
24,65,Female,Technology,102790,2022-05-27,2024-05-05 20:33,7,488.22,Bags/Accessories,0.56,App,TRUE,2024-04-27,0,Nike
25,19,Male,Healthcare,131642,2019-06-03,2024-05-02 13:22,12,359,Women's Clothing,0.45,Virtual Account,FALSE,2023-07-17,0,Double Flag
26,40,Male,Education,63676,2023-07-31,2024-05-07 19:21,20,451.91,Sports,2.91,Mobile,TRUE,2023-08-19,1,Nike
27,18,Female,Services,133411,2020-01-05,2024-05-09 4:48,5,328.43,Women's Clothing,1.01,Credit Card,TRUE,2024-02-24,0,Hazzys
28,42,Female,Education,99180,2019-09-05,2024-05-06 8:25,9,101.67,Women's Clothing,3.68,Virtual Account,FALSE,2024-03-12,1,Hazzys
29,39,Female,Finance,102862,2024-01-15,2024-05-04 12:06,24,471.02,Bags/Accessories,0.79,Virtual Account,FALSE,2023-11-24,0,Hazzys
30,69,Male,Services,54536,2024-01-04,2024-05-02 15:07,28,341.71,Sports,1.09,Credit Card,FALSE,2024-02-04,1,Nike
31,38,Female,Healthcare,79753,2021-08-30,2024-05-05 3:51,9,468.76,Luxury,2.59,Mobile,FALSE,2023-10-16,1,Gucci
32,27,Female,Education,106387,2020-02-14,2024-05-08 9:12,29,290.15,Sports,4.35,Virtual Account,TRUE,2023-11-12,0,Nike
33,41,Male,Education,88034,2024-01-17,2024-05-04 11:53,14,224.79,Sports,2.56,App,FALSE,2023-10-15,1,Gucci
34,25,Male,Healthcare,193386,2019-12-23,2024-05-02 10:37,27,167.03,Bags/Accessories,2.15,App,FALSE,2023-06-07,0,Daks
35,40,Female,Technology,140470,2020-10-30,2024-05-03 14:42,8,21.97,Bags/Accessories,1.15,Mobile,TRUE,2023-09-23,0,Hazzys
36,27,Female,Services,111972,2023-03-10,2024-05-05 20:26,8,325.26,Golf,3.59,Mobile,TRUE,2023-07-10,1,Daks
37,61,Female,Finance,186487,2023-12-17,2024-05-06 23:55,4,104,Sports,1.01,Virtual Account,TRUE,2024-03-24,1,Daks
38,27,Male,Services,199470,2021-06-04,2024-05-01 21:11,16,102.05,Kids,3.37,App,TRUE,2023-10-10,1,Gucci
39,49,Male,Healthcare,32554,2020-11-05,2024-05-06 0:02,25,168.8,Bags/Accessories,4.29,Virtual Account,TRUE,2023-11-18,0,Gucci
40,40,Female,Education,155143,2023-06-24,2024-05-08 9:19,18,164.65,Beauty,1.43,Mobile,FALSE,2023-09-12,1,Daks
41,60,Female,Finance,86095,2020-07-30,2024-05-05 16:02,0,108.33,Sports,4.73,App,TRUE,2023-12-21,1,Daks
42,68,Female,Education,179855,2020-05-12,2024-05-03 17:34,13,348.23,Golf,2.28,Virtual Account,TRUE,2023-12-19,0,Hazzys
43,36,Female,Education,139724,2022-08-22,2024-05-05 2:52,10,91.74,Kids,2.57,Credit Card,FALSE,2023-05-15,1,Double Flag
44,54,Female,Healthcare,187928,2021-07-05,2024-05-07 11:12,28,211.08,Luxury,1.95,Virtual Account,FALSE,2023-11-20,1,Nike
45,65,Male,Healthcare,44115,2023-05-30,2024-05-03 15:09,27,357.57,Kids,4.2,Credit Card,TRUE,2023-09-16,1,Nike
46,22,Male,Healthcare,47927,2022-12-28,2024-05-05 14:43,28,24.39,Men's Clothing,1.24,Virtual Account,TRUE,2023-09-03,0,Gucci
47,23,Male,Healthcare,94780,2021-06-25,2024-05-05 12:15,13,345.21,Bags/Accessories,2.92,Mobile,TRUE,2023-10-20,1,Nike
48,20,Female,Healthcare,35283,2023-04-22,2024-05-08 1:07,23,34.9,Luxury,0.27,Virtual Account,FALSE,2024-04-11,1,Double Flag
49,49,Male,Healthcare,177963,2024-01-04,2024-05-03 0:15,19,90.76,Bags/Accessories,2.7,Credit Card,TRUE,2023-07-02,1,Gucci
50,35,Female,Healthcare,150482,2023-03-21,2024-05-03 2:29,7,495.12,Golf,2.75,Mobile,TRUE,2024-03-14,1,Gucci
51,59,Female,Education,135912,2020-10-18,2024-05-05 2:28,0,202.09,Beauty,1.21,Virtual Account,TRUE,2023-08-17,1,Nike
52,24,Female,Services,131344,2019-09-30,2024-05-04 15:08,4,439,Kids,0.33,App,FALSE,2023-10-08,0,Hazzys
53,51,Female,Education,83346,2021-02-27,2024-05-07 16:25,10,266.33,Luxury,3.22,Credit Card,TRUE,2024-01-03,0,Double Flag
54,26,Female,Finance,196692,2022-10-06,2024-05-02 6:42,13,180.9,Luxury,0.3,App,TRUE,2024-03-31,1,Gucci
55,67,Female,Education,53193,2020-10-22,2024-05-05 8:10,21,142.16,Kids,1.53,App,FALSE,2023-11-15,0,Daks
56,48,Male,Services,192761,2023-02-08,2024-05-05 6:16,5,416.11,Shoes,1.11,Credit Card,FALSE,2023-08-07,1,Nike
57,39,Female,Technology,149299,2019-07-18,2024-05-03 3:02,22,162.29,Golf,2.63,Credit Card,FALSE,2023-11-04,1,Double Flag
58,57,Male,Finance,151873,2022-08-20,2024-05-06 9:07,18,232.28,Beauty,1.61,App,TRUE,2023-10-02,0,Nike
59,62,Male,Services,104247,2021-12-04,2024-05-06 18:51,14,256.02,Luxury,4.86,Virtual Account,TRUE,2023-12-03,1,Nike
60,29,Female,Technology,112391,2019-11-22,2024-05-07 4:32,26,296.19,Kids,1.29,Credit Card,TRUE,2023-07-07,0,Hazzys
61,57,Male,Education,,2020-09-08,2024-05-01 19:32,28,283.85,Luxury,2.84,App,TRUE,2023-08-26,0,Nike
62,35,Male,Healthcare,152118,2023-07-21,2024-05-03 23:23,28,37.88,Golf,3.94,Mobile,TRUE,2023-11-10,0,Hazzys
63,24,Female,Technology,134898,2022-10-10,2024-05-08 2:47,18,34.62,Bags/Accessories,2.92,Credit Card,FALSE,2024-01-04,0,Double Flag
64,42,Male,Services,158725,2023-06-19,2024-05-05 1:58,27,194.65,Golf,2.64,App,FALSE,2023-05-24,0,Gucci
65,48,Female,Healthcare,44899,2022-07-03,2024-05-09 5:14,23,469.33,Bags/Accessories,1.51,App,TRUE,2023-11-16,1,Gucci
66,67,Male,Services,117197,2021-05-06,2024-05-02 10:07,10,496.39,Women's Clothing,2.98,App,FALSE,2023-06-04,0,Nike
67,54,Female,Healthcare,190115,2024-04-09,2024-05-01 21:29,5,119.19,Golf,4.48,Mobile,TRUE,2023-11-28,0,Gucci
68,21,Male,Education,110297,2021-05-11,2024-05-06 13:48,4,163.81,Men's Clothing,2.17,App,TRUE,2023-10-21,0,Hazzys
69,48,Female,Education,143829,2020-10-04,2024-05-08 19:22,29,25.41,Women's Clothing,2.62,Virtual Account,TRUE,2024-01-16,1,Hazzys
70,35,Female,Finance,196736,2019-10-06,2024-05-06 6:06,1,110.16,Kids,2.64,Credit Card,TRUE,2023-07-29,0,Daks
71,26,Male,Education,38851,2022-08-10,2024-05-04 18:46,3,144.51,Beauty,3.12,App,FALSE,2023-07-22,0,Nike
72,35,Male,Services,86459,2021-09-05,2024-05-08 12:55,19,189.29,Women's Clothing,3.07,Mobile,TRUE,2023-08-23,1,Double Flag
73,53,Female,Services,105565,2024-02-26,2024-05-05 5:04,15,150.47,Kids,3.61,Credit Card,FALSE,2023-08-28,0,Double Flag
74,65,Female,Services,148591,2022-11-05,2024-05-04 23:29,5,482.25,Bags/Accessories,4.37,App,FALSE,2024-02-11,1,Daks
75,59,Female,Healthcare,91034,2023-03-05,2024-05-04 1:52,3,408.02,Sports,3.65,App,TRUE,2024-03-04,0,Gucci
76,18,Female,Education,67178,2022-06-20,2024-05-08 10:58,2,467.52,Men's Clothing,4.84,Credit Card,FALSE,2023-12-13,1,Gucci
77,32,Male,Services,119704,2020-04-17,2024-05-04 16:47,18,340.45,Men's Clothing,4.54,Mobile,FALSE,2023-11-02,0,Gucci
78,40,Female,Technology,36044,2021-07-28,2024-05-01 7:28,10,385.91,Beauty,2.44,App,FALSE,2023-11-04,0,Daks
79,20,Female,Services,94940,2021-05-22,2024-05-05 12:09,10,498.55,Men's Clothing,1.6,Mobile,FALSE,2024-03-10,0,Double Flag
80,40,Female,Education,36020,2021-11-14,2024-05-05 12:23,1,204.81,Kids,2.2,Virtual Account,TRUE,2024-03-29,0,Daks
81,61,Male,Education,61617,2023-05-17,2024-05-05 12:42,0,432.37,Luxury,4.87,Credit Card,TRUE,2023-08-21,0,Gucci
82,59,Male,Healthcare,122633,2020-10-21,2024-05-07 22:22,11,433.01,Men's Clothing,0.38,Credit Card,TRUE,2024-02-04,1,Nike
83,49,Male,Healthcare,42800,2021-09-27,2024-05-06 4:10,1,492.13,Luxury,4.48,Virtual Account,TRUE,2023-06-20,0,Hazzys
84,30,Male,Technology,153961,2021-07-13,2024-05-03 1:41,28,328.81,Bags/Accessories,4.49,Credit Card,FALSE,2024-01-20,1,Gucci
85,23,Female,Technology,198616,2022-01-18,2024-05-03 5:58,26,363.22,Shoes,4.93,Virtual Account,FALSE,2024-02-08,1,Daks
86,55,Male,Finance,161344,2019-08-25,2024-05-07 15:35,19,319.79,Golf,0.14,Virtual Account,TRUE,2023-05-20,1,Double Flag
87,24,Male,Technology,113345,2021-12-31,2024-05-05 2:26,12,114.26,Shoes,4.27,Mobile,TRUE,2024-02-07,0,Nike
88,48,Female,Healthcare,47195,2021-07-25,2024-05-03 12:46,16,195.81,Women's Clothing,2.63,App,FALSE,2023-12-03,0,Hazzys
89,38,Female,Healthcare,136847,2023-04-16,2024-05-05 23:01,13,262.84,Sports,1.6,Mobile,TRUE,2023-05-23,0,Daks
90,20,Female,Technology,126666,2020-05-06,2024-05-06 14:25,11,331.4,Shoes,0.01,App,TRUE,2024-04-10,0,Gucci
91,61,Male,Finance,164037,2021-04-23,2024-05-01 16:11,17,480.92,Women's Clothing,4.8,Credit Card,FALSE,2023-08-20,1,Double Flag
92,58,Male,Technology,78262,2022-02-01,2024-05-03 13:05,18,314.18,Beauty,1.67,Credit Card,FALSE,2023-12-10,0,Nike
93,64,Male,Education,85150,2021-02-13,2024-05-04 10:27,17,424.93,Women's Clothing,4.36,Credit Card,TRUE,2024-04-16,1,Daks
94,18,Female,Technology,131378,2023-12-08,2024-05-02 11:12,17,63.62,Kids,3.08,App,TRUE,2024-01-11,0,Daks
95,51,Female,Finance,126532,2022-10-15,2024-05-05 11:08,12,440.13,Luxury,2.24,Mobile,FALSE,2023-08-15,1,Nike
96,67,Female,Finance,132547,2021-08-10,2024-05-08 12:12,19,330.35,Kids,2.02,Credit Card,FALSE,2024-02-01,0,Hazzys
97,50,Male,Education,71412,2020-08-16,2024-05-03 11:51,11,82.85,Luxury,4.03,Virtual Account,FALSE,2024-04-11,0,Double Flag
98,61,Male,Technology,133310,2023-07-04,2024-05-04 11:00,14,200.19,Golf,0.63,Mobile,TRUE,2024-01-30,1,Hazzys
99,20,Female,Technology,55179,2022-03-25,2024-05-05 10:05,12,304.4,Bags/Accessories,4.91,App,FALSE,2024-03-21,0,Double Flag
100,35,Male,Technology,39814,2023-02-18,2024-05-04 11:40,23,309.8,Bags/Accessories,1.5,Credit Card,FALSE,2024-04-11,0,Hazzys
101,32,Female,Services,162657,2019-10-20,2024-05-05 11:17,18,2608.7,Men's Clothing,0.15,App,FALSE,2023-05-31,0,Hazzys
102,59,Male,Finance,46115,2021-09-10,2024-05-06 12:19,23,319.57,Kids,0.5,Mobile,TRUE,2024-04-11,0,Double Flag
103,20,Female,Finance,162353,2023-07-27,2024-05-02 10:20,24,90.51,Sports,0.63,Credit Card,TRUE,2024-02-12,0,Nike
104,47,Female,Finance,87579,2022-03-02,2024-05-09 7:01,9,262.76,Bags/Accessories,1.52,Credit Card,TRUE,2024-01-21,0,Hazzys
105,26,Male,Technology,79882,2020-01-12,2024-05-07 18:33,4,28.49,Bags/Accessories,1.89,Credit Card,TRUE,2024-01-25,0,Nike
106,32,Male,Education,104292,2020-08-18,2024-05-04 1:11,20,175.08,Men's Clothing,3.03,Credit Card,FALSE,2023-06-05,1,Double Flag
107,52,Male,Services,32262,2023-12-27,2024-05-04 15:32,12,196.45,Shoes,0,App,FALSE,2023-06-02,1,Hazzys
108,31,Male,Education,146062,2022-10-10,2024-05-05 8:23,18,498.84,Luxury,4.24,Virtual Account,FALSE,2024-03-30,0,Hazzys
109,66,Female,Technology,191804,2023-11-08,2024-05-01 8:20,19,348.45,Luxury,2.08,Credit Card,FALSE,2024-04-12,1,Gucci
110,28,Female,Technology,50893,2020-10-19,2024-05-08 1:35,3,236.82,Shoes,2.84,Virtual Account,TRUE,2024-01-05,0,Double Flag
111,28,Female,Healthcare,96845,2020-11-12,2024-05-04 6:11,23,468.5,Men's Clothing,4.47,Credit Card,TRUE,2023-09-26,1,Hazzys
112,55,Male,Healthcare,70039,2023-07-16,2024-05-06 18:08,8,423.39,Beauty,3.85,Credit Card,TRUE,2023-06-30,1,Daks
113,51,Female,Technology,156246,2024-01-05,2024-05-03 22:40,7,352.44,Beauty,1.1,App,FALSE,2024-01-22,1,Hazzys
114,69,Female,Healthcare,91221,2020-06-11,2024-05-04 18:17,11,400.02,Golf,0.04,Virtual Account,TRUE,2024-02-25,0,Nike
115,66,Female,Finance,143038,2019-09-11,2024-05-01 17:03,24,72.31,Kids,4.7,Credit Card,FALSE,2023-07-27,1,Gucci
116,65,Female,Services,69331,2024-03-28,2024-05-06 15:55,7,449.62,Bags/Accessories,0.29,Mobile,TRUE,2024-04-19,0,Daks
117,21,Male,Technology,94146,2022-07-23,2024-05-03 11:49,18,231.87,Beauty,3.89,Virtual Account,FALSE,2023-09-14,0,Hazzys
118,24,Female,Finance,104621,2021-01-07,2024-05-06 4:43,28,345.77,Shoes,0.1,Virtual Account,FALSE,2024-04-18,1,Daks
119,22,Female,Technology,156289,2020-06-12,2024-05-02 12:40,4,156.74,Sports,4.15,App,FALSE,2023-08-02,0,Nike
120,20,Male,Healthcare,185281,2020-08-24,2024-05-01 8:57,2,146.26,Sports,0.38,Credit Card,TRUE,2023-07-09,1,Gucci
121,52,Female,Technology,185395,2022-12-23,2024-05-07 5:35,11,747.3,Bags/Accessories,4.69,App,FALSE,2023-05-20,1,Double Flag
122,31,Female,Healthcare,34487,2021-10-11,2024-05-07 8:45,5,487.42,Bags/Accessories,4.41,App,FALSE,2023-10-27,1,Hazzys
123,21,Male,Healthcare,93370,2020-10-25,2024-05-01 8:11,6,386.09,Golf,4.16,Virtual Account,FALSE,2024-04-09,0,Hazzys
124,59,Male,Healthcare,31470,2020-08-22,2024-05-04 16:17,3,31.18,Golf,0.79,Credit Card,FALSE,2023-09-09,0,Gucci
125,38,Female,Services,146189,2019-11-21,2024-05-05 6:00,10,377.85,Sports,0.51,Virtual Account,TRUE,2023-11-19,0,Nike
126,62,Male,Finance,130273,2022-06-20,2024-05-06 5:02,10,178.93,Luxury,1.75,Virtual Account,TRUE,2023-08-05,1,Double Flag
127,21,Male,Education,110433,2019-06-29,2024-05-07 2:02,27,160.54,Golf,1.41,Credit Card,FALSE,2024-04-01,1,Double Flag
128,47,Male,Finance,179967,2019-07-11,2024-05-08 14:35,14,229.2,Bags/Accessories,4.84,Mobile,FALSE,2024-03-28,1,Gucci
129,42,Female,Healthcare,77570,2020-04-16,2024-05-01 20:55,4,243.62,Kids,4.2,Mobile,FALSE,2024-02-16,1,Hazzys
130,22,Male,Technology,52426,2021-09-27,2024-05-01 1:43,6,270.4,Luxury,4.26,Credit Card,TRUE,2023-10-19,1,Hazzys
131,59,Female,Education,190023,2022-06-09,2024-05-03 2:38,10,276.63,Bags/Accessories,1.54,Credit Card,FALSE,2023-08-26,0,Double Flag
132,43,Male,Healthcare,111981,2023-02-21,2024-05-05 0:28,17,77.17,Golf,2.18,Credit Card,TRUE,2023-09-19,1,Double Flag
133,27,Male,Healthcare,47980,2022-12-01,2024-05-08 1:32,15,63.09,Golf,0.44,Credit Card,TRUE,2023-08-27,0,Hazzys
134,39,Male,Finance,132714,2022-10-07,2024-05-05 3:06,6,99.03,Beauty,2.03,Credit Card,FALSE,2023-05-30,1,Daks
135,49,Male,Healthcare,71703,2021-11-01,2024-05-03 1:08,26,73.35,Kids,0.88,App,FALSE,2023-06-01,0,Hazzys
136,56,Male,Healthcare,182584,2020-07-26,2024-05-04 18:12,19,367.24,Kids,3.96,Mobile,FALSE,2023-05-29,1,Nike
137,41,Male,Education,35802,2024-03-03,2024-05-03 17:54,3,477.3,Bags/Accessories,2.02,Mobile,TRUE,2023-10-28,1,Gucci
138,33,Male,Services,49148,2019-12-21,2024-05-02 1:23,28,411.48,Kids,0.09,Credit Card,TRUE,2024-03-14,0,Nike
139,19,Male,Healthcare,60472,2020-12-03,2024-05-07 19:10,12,20.83,Bags/Accessories,2.5,Mobile,FALSE,2023-10-02,1,Double Flag
140,19,Female,Services,136415,2024-03-02,2024-05-08 12:45,12,286.25,Women's Clothing,4.33,Virtual Account,FALSE,2024-03-15,1,Nike
141,56,Male,Technology,128876,2022-04-06,2024-05-05 9:47,5,362.35,Sports,2.61,Virtual Account,FALSE,2023-12-02,0,Daks
142,26,Female,Services,44639,2022-09-02,2024-05-06 20:01,28,470.07,Luxury,1.35,App,TRUE,2023-11-09,1,Gucci
143,55,Male,Technology,138311,2023-09-22,2024-05-05 1:07,5,319.8,Sports,0.21,Virtual Account,FALSE,2023-07-16,1,Gucci
144,36,Female,Education,118432,2022-07-29,2024-05-03 23:12,18,205.89,Beauty,0.01,Credit Card,FALSE,2023-12-13,1,Gucci
145,38,Female,Healthcare,,2022-12-22,2024-05-01 15:13,11,87.05,Kids,4.61,Virtual Account,FALSE,2024-02-17,1,Daks
146,19,Female,Technology,168438,2022-10-19,2024-05-03 18:02,5,58.98,Bags/Accessories,4.63,App,TRUE,2023-05-26,0,Nike
147,36,Female,Services,193436,2023-04-02,2024-05-02 15:10,27,471.24,Women's Clothing,2.84,Virtual Account,TRUE,2023-09-03,0,Daks
148,49,Female,Services,113820,2020-06-25,2024-05-02 7:16,6,421.27,Golf,3.02,Virtual Account,TRUE,2023-07-03,1,Nike
149,53,Female,Finance,87270,2020-02-04,2024-05-01 7:31,7,107.06,Kids,1.37,App,FALSE,2023-06-19,1,Double Flag
150,60,Female,Services,97073,2021-10-12,2024-05-02 2:22,11,226.69,Luxury,0.7,Credit Card,TRUE,2024-02-19,0,Gucci
151,35,Male,Education,124121,2019-09-03,2024-05-05 17:45,24,33.31,Men's Clothing,4.93,App,TRUE,2023-12-31,1,Daks
152,43,Female,Healthcare,161061,2022-06-19,2024-05-06 20:16,24,406.27,Bags/Accessories,1.27,Mobile,FALSE,2024-01-01,1,Double Flag
153,56,Female,Education,45276,2019-11-21,2024-05-04 5:41,7,447.67,Golf,3.71,Mobile,FALSE,2023-11-26,1,Nike
154,56,Male,Technology,139602,2021-10-12,2024-05-06 2:50,29,193.63,Men's Clothing,4.22,Credit Card,FALSE,2023-09-14,0,Double Flag
155,32,Female,Technology,188284,2019-08-26,2024-05-07 22:21,21,170.5,Golf,2.19,Mobile,TRUE,2024-02-16,1,Hazzys
156,23,Female,Technology,151588,2019-07-19,2024-05-06 2:04,19,408.28,Beauty,4.14,Credit Card,FALSE,2023-08-14,1,Gucci
157,19,Male,Services,38772,2021-02-12,2024-05-08 17:16,24,146.74,Sports,1.52,Virtual Account,TRUE,2023-09-28,0,Gucci
158,67,Male,Education,183356,2023-10-01,2024-05-05 6:16,4,169.7,Golf,1.41,Virtual Account,TRUE,2024-04-10,1,Daks
159,65,Male,Services,88046,2024-01-01,2024-05-06 22:14,6,459.72,Sports,1.16,Virtual Account,TRUE,2023-10-11,1,Double Flag
160,44,Female,Technology,108727,2022-05-17,2024-05-03 13:19,21,27.84,Sports,3.37,App,TRUE,2023-12-20,0,Hazzys
161,32,Female,Education,130871,2020-05-18,2024-05-07 14:42,15,302.17,Men's Clothing,4.6,Credit Card,TRUE,2023-08-01,1,Double Flag
162,62,Female,Healthcare,122133,2023-11-22,2024-05-08 20:10,2,311.39,Beauty,0.05,Mobile,TRUE,2023-08-03,0,Nike
163,41,Male,Education,146488,2024-03-20,2024-05-08 4:20,9,88.81,Golf,2.15,Mobile,TRUE,2024-02-06,0,Hazzys
164,37,Male,Education,95843,2019-10-30,2024-05-06 17:25,11,467.17,Luxury,0.1,Mobile,FALSE,2023-07-23,1,Double Flag
165,56,Male,Finance,93530,2021-07-09,2024-05-03 18:56,11,405.62,Luxury,0.94,Credit Card,FALSE,2023-07-16,1,Daks
166,29,Male,Services,109610,2020-07-11,2024-05-02 13:29,10,373.82,Kids,0.46,Virtual Account,FALSE,2023-12-29,1,Hazzys
167,68,Female,Education,97458,2022-05-04,2024-05-03 17:38,2,42.87,Golf,4.42,App,TRUE,2023-09-12,1,Daks
168,61,Male,Services,181604,2022-11-17,2024-05-09 1:17,12,407.36,Men's Clothing,4.86,App,TRUE,2023-06-01,1,Nike
169,57,Female,Healthcare,191765,2020-02-19,2024-05-04 8:20,16,140.3,Beauty,4.81,Mobile,FALSE,2024-04-11,0,Gucci
170,68,Male,Finance,107764,2022-03-20,2024-05-08 13:28,15,79.57,Sports,3.93,Credit Card,TRUE,2023-12-18,1,Double Flag
171,57,Female,Healthcare,64402,2023-01-01,2024-05-07 2:43,16,132.44,Shoes,4.04,Mobile,TRUE,2023-09-30,0,Gucci
172,24,Female,Services,47141,2023-08-11,2024-05-08 5:16,6,209.31,Men's Clothing,3.9,Credit Card,TRUE,2023-07-26,1,Nike
173,63,Male,Finance,163308,2021-08-06,2024-05-08 6:10,9,37.11,Bags/Accessories,3.74,App,TRUE,2024-01-16,0,Daks
174,65,Female,Healthcare,158269,2019-11-24,2024-05-08 21:37,27,88.56,Men's Clothing,0.31,Mobile,TRUE,2023-12-23,0,Nike
175,63,Male,Education,157955,2021-05-06,2024-05-07 18:57,7,110.01,Kids,3.69,App,FALSE,2023-06-01,0,Nike
176,44,Female,Services,128394,2022-06-18,2024-05-02 9:33,12,164.96,Shoes,0.67,Credit Card,TRUE,2023-08-28,1,Nike
177,45,Male,Technology,92469,2020-01-20,2024-05-05 16:46,13,487.79,Men's Clothing,4.4,App,TRUE,2023-08-18,0,Double Flag
178,29,Female,Technology,113612,2021-10-05,2024-05-06 8:37,14,144.96,Bags/Accessories,4.66,App,FALSE,2024-04-20,0,Double Flag
179,47,Male,Finance,143380,2021-05-22,2024-05-04 20:35,6,172.26,Kids,4.01,Credit Card,FALSE,2024-04-20,1,Gucci
180,21,Female,Finance,87687,2022-06-07,2024-05-05 6:57,18,342.37,Men's Clothing,3.35,Virtual Account,FALSE,2023-10-01,1,Hazzys
181,62,Female,Finance,91248,2024-01-22,2024-05-04 2:27,10,224.4,Women's Clothing,1.41,App,FALSE,2023-11-06,1,Nike
182,32,Male,Technology,122611,2023-12-05,2024-05-06 11:06,5,398.73,Bags/Accessories,1.94,Credit Card,TRUE,2024-03-05,1,Hazzys
183,23,Male,Technology,47006,2024-02-08,2024-05-02 7:21,14,461.64,Luxury,0.65,Mobile,TRUE,2024-04-14,0,Daks
184,53,Female,Education,62735,2021-01-13,2024-05-06 18:13,16,283.26,Sports,1.77,App,TRUE,2023-12-12,0,Nike
185,20,Male,Services,144822,2022-06-07,2024-05-06 5:19,3,256.51,Golf,2.11,Virtual Account,FALSE,2024-02-25,1,Daks
186,68,Male,Services,31179,2020-08-08,2024-05-07 22:54,18,358.57,Kids,0.3,Credit Card,TRUE,2023-07-20,0,Nike
187,67,Female,Technology,98902,2020-09-02,2024-05-06 21:00,15,258.38,Women's Clothing,1.25,App,TRUE,2023-12-12,1,Daks
188,52,Female,Finance,30897,2023-01-08,2024-05-05 17:23,26,459.15,Shoes,3.84,Mobile,FALSE,2024-02-15,1,Nike
189,27,Female,Healthcare,141851,2021-06-16,2024-05-08 16:06,27,253.42,Kids,2.89,App,TRUE,2023-06-02,1,Nike
190,51,Female,Healthcare,47192,2020-10-12,2024-05-06 8:02,0,198.1,Beauty,1.37,Virtual Account,FALSE,2023-08-16,1,Gucci
191,55,Female,Finance,110327,2022-04-24,2024-05-07 14:14,3,358.54,Beauty,2.87,Credit Card,TRUE,2023-06-02,0,Daks
